x,y,speed,heading,fix_quality,steering_angle
661486.059324,1509601.946556,0.48,56.829023,5,1.1
661486.059324,1509601.946556,0.48,56.829023,5,2.220905
661486.059324,1509601.946556,0.48,56.829023,5,3.183902
661486.059324,1509601.946556,0.48,56.829023,5,3.99282
661486.059324,1509601.946556,0.48,56.829023,5,4.672311
661486.059324,1509601.946556,0.48,56.829023,5,5.243083
661486.059324,1509601.946556,0.48,56.829023,5,5.722532
661486.059324,1509601.946556,0.48,56.829023,5,6.125269
661486.059324,1509601.946556,0.48,56.829023,5,6.463568
661486.059324,1509601.946556,0.48,56.829023,5,6.747739
661486.059324,1509601.946556,0.48,56.829023,5,6.986443
661486.059324,1509601.946556,0.48,56.829023,5,7.186954
661486.059324,1509601.946556,0.48,56.829023,5,7.355383
661486.059324,1509601.946556,0.48,56.829023,5,7.496864
661486.059324,1509601.946556,0.48,56.829023,5,7.615708
661486.059324,1509601.946556,0.48,56.829023,5,7.715536
661486.059324,1509601.946556,0.48,56.829023,5,7.799393
661486.059324,1509601.946556,0.48,56.829023,5,7.869832
661486.059324,1509601.946556,0.48,56.829023,5,7.929001
661486.059324,1509601.946556,0.48,56.829023,5,7.978703
661486.059324,1509601.946556,0.48,56.829023,5,8.020452
661486.059324,1509601.946556,0.48,56.829023,5,8.055522
661486.059324,1509601.946556,0.48,56.829023,5,8.08498
661486.059324,1509601.946556,0.48,56.829023,5,8.109725
661486.059324,1509601.946556,0.48,56.829023,5,8.130511
661486.059324,1509601.946556,0.48,56.829023,5,8.147972
661486.059324,1509601.946556,0.48,56.829023,5,8.162638
661486.059324,1509601.946556,0.48,56.829023,5,8.174958
661486.059324,1509601.946556,0.48,56.829023,5,8.185307
661486.059324,1509601.946556,0.48,56.829023,5,8.194
661486.059324,1509601.946556,0.48,56.829023,5,8.201302
661486.059324,1509601.946556,0.48,56.829023,5,8.207435
661486.059324,1509601.946556,0.48,56.829023,5,8.212588
661486.059324,1509601.946556,0.48,56.829023,5,8.216916
661486.059324,1509601.946556,0.48,56.829023,5,8.220551
661486.059324,1509601.946556,0.48,56.829023,5,8.223605
661486.059324,1509601.946556,0.48,56.829023,5,8.22617
661486.059324,1509601.946556,0.48,56.829023,5,8.228325
661486.059324,1509601.946556,0.48,56.829023,5,8.230135
661486.059324,1509601.946556,0.48,56.829023,5,8.231655
661486.059324,1509601.946556,0.48,56.829023,5,8.232933
661486.059324,1509601.946556,0.48,56.829023,5,8.234005
661486.059324,1509601.946556,0.48,56.829023,5,8.234906
661486.059324,1509601.946556,0.48,56.829023,5,8.235663
661486.059324,1509601.946556,0.48,56.829023,5,8.236299
661486.059324,1509601.946556,0.48,56.829023,5,8.236833
661486.059324,1509601.946556,0.48,56.829023,5,8.237282
661486.059324,1509601.946556,0.48,56.829023,5,8.237659
661486.059324,1509601.946556,0.48,56.829023,5,8.237976
661486.059324,1509601.946556,0.48,56.829023,5,8.238241
661486.059324,1509601.946556,0.48,56.829023,5,8.238465
661486.059324,1509601.946556,0.48,56.829023,5,8.238652
661486.059324,1509601.946556,0.48,56.829023,5,8.23881
661486.059324,1509601.946556,0.48,56.829023,5,8.238942
661486.059324,1509601.946556,0.48,56.829023,5,8.239054
661486.059324,1509601.946556,0.48,56.829023,5,8.239147
661486.059324,1509601.946556,0.48,56.829023,5,8.239226
661486.059324,1509601.946556,0.48,56.829023,5,8.239291
661486.059324,1509601.946556,0.48,56.829023,5,8.239347
661486.059324,1509601.946556,0.48,56.829023,5,8.239393
661486.059324,1509601.946556,0.48,56.829023,5,8.239432
661486.059324,1509601.946556,0.48,56.829023,5,8.239465
661486.059324,1509601.946556,0.48,56.829023,5,8.239493
661486.059324,1509601.946556,0.48,56.829023,5,8.239516
661486.059324,1509601.946556,0.48,56.829023,5,8.239535
661486.059324,1509601.946556,0.48,56.829023,5,8.239552
661486.059324,1509601.946556,0.48,56.829023,5,8.239565
661486.059324,1509601.946556,0.48,56.829023,5,8.239577
661486.059324,1509601.946556,0.48,56.829023,5,8.239587
661486.059324,1509601.946556,0.48,56.829023,5,8.239595
661486.059324,1509601.946556,0.48,56.829023,5,8.239602
661486.059324,1509601.946556,0.48,56.829023,5,8.239607
661486.059324,1509601.946556,0.48,56.829023,5,8.239612
661486.059324,1509601.946556,0.48,56.829023,5,8.239616
661486.059324,1509601.946556,0.48,56.829023,5,8.23962
661486.059324,1509601.946556,0.48,56.829023,5,8.239623
661486.059324,1509601.946556,0.48,56.829023,5,8.239625
661486.059324,1509601.946556,0.48,56.829023,5,8.239627
661486.059324,1509601.946556,0.48,56.829023,5,8.239629
661486.059324,1509601.946556,0.48,56.829023,5,8.23963
661486.05921,1509601.964994,0.48,56.829023,5,8.241513
661486.05921,1509601.964994,0.48,56.829023,5,8.243094
661486.05921,1509601.964994,0.48,56.829023,5,8.244423
661486.05921,1509601.964994,0.48,56.829023,5,8.245539
661486.05921,1509601.964994,0.48,56.829023,5,8.246476
661486.05921,1509601.964994,0.48,56.829023,5,8.247264
661486.05921,1509601.964994,0.48,56.829023,5,8.247925
661486.05921,1509601.964994,0.48,56.829023,5,8.24848
661486.05921,1509601.964994,0.48,56.829023,5,8.248947
661486.05921,1509601.964994,0.48,56.829023,5,8.249339
661486.05921,1509601.964994,0.48,56.829023,5,8.249669
661486.05921,1509601.964994,0.48,56.829023,5,8.249945
661486.05921,1509601.964994,0.48,56.829023,5,8.250177
661486.05921,1509601.964994,0.48,56.829023,5,8.250373
661486.05921,1509601.964994,0.48,56.829023,5,8.250537
661486.05921,1509601.964994,0.48,56.829023,5,8.250674
661486.05921,1509601.964994,0.48,56.829023,5,8.25079
661486.05921,1509601.964994,0.48,56.829023,5,8.250887
661486.05921,1509601.964994,0.48,56.829023,5,8.250969
661486.05921,1509601.964994,0.48,56.829023,5,8.251037
661486.059324,1509601.946556,0.48,56.829023,5,8.249213
661486.059324,1509601.946556,0.48,56.829023,5,8.247681
661486.059324,1509601.946556,0.48,56.829023,5,8.246394
661486.059324,1509601.946556,0.48,56.829023,5,8.245313
661486.059324,1509601.946556,0.48,56.829023,5,8.244405
661486.059324,1509601.946556,0.48,56.829023,5,8.243642
661486.059324,1509601.946556,0.48,56.829023,5,8.243001
661486.059324,1509601.946556,0.48,56.829023,5,8.242463
661486.059324,1509601.946556,0.48,56.829023,5,8.242011
661486.059324,1509601.946556,0.48,56.829023,5,8.241631
661486.059324,1509601.946556,0.48,56.829023,5,8.241312
661486.059324,1509601.946556,0.48,56.829023,5,8.241044
661486.059324,1509601.946556,0.48,56.829023,5,8.240819
661486.059324,1509601.946556,0.48,56.829023,5,8.24063
661486.059324,1509601.946556,0.48,56.829023,5,8.240471
661486.059324,1509601.946556,0.48,56.829023,5,8.240338
661486.059324,1509601.946556,0.48,56.829023,5,8.240226
661486.059324,1509601.946556,0.48,56.829023,5,8.240132
661486.059324,1509601.946556,0.48,56.829023,5,8.240053
661486.059324,1509601.946556,0.48,56.829023,5,8.239986
661486.059324,1509601.946556,0.48,56.829023,5,8.23993
661486.059324,1509601.946556,0.48,56.829023,5,8.239884
661486.059324,1509601.946556,0.48,56.829023,5,8.239844
661486.059324,1509601.946556,0.48,56.829023,5,8.239811
661486.059324,1509601.946556,0.48,56.829023,5,8.239783
661486.059324,1509601.946556,0.48,56.829023,5,8.23976
661486.059324,1509601.946556,0.48,56.829023,5,8.23974
661486.059324,1509601.946556,0.48,56.829023,5,8.239724
661486.059324,1509601.946556,0.48,56.829023,5,8.23971
661486.059324,1509601.946556,0.48,56.829023,5,8.239699
661486.059324,1509601.946556,0.48,56.829023,5,8.239689
661486.059324,1509601.946556,0.48,56.829023,5,8.239681
661486.059324,1509601.946556,0.48,56.829023,5,8.239674
661486.059324,1509601.946556,0.48,56.829023,5,8.239668
661486.059324,1509601.946556,0.48,56.829023,5,8.239663
661486.059324,1509601.946556,0.48,56.829023,5,8.239659
661486.059324,1509601.946556,0.48,56.829023,5,8.239656
661486.059324,1509601.946556,0.48,56.829023,5,8.239653
661486.059324,1509601.946556,0.48,56.829023,5,8.23965
661486.059324,1509601.946556,0.48,56.829023,5,8.239648
661486.041293,1509601.946446,0.48,56.829023,5,8.237132
661486.041293,1509601.946446,0.48,56.829023,5,8.235019
661486.041293,1509601.946446,0.48,56.829023,5,8.233243
661486.041293,1509601.946446,0.48,56.829023,5,8.231752
661486.041293,1509601.946446,0.48,56.829023,5,8.2305
661486.041293,1509601.946446,0.48,56.829023,5,8.229447
661486.041293,1509601.946446,0.48,56.829023,5,8.228563
661486.041293,1509601.946446,0.48,56.829023,5,8.227821
661486.041293,1509601.946446,0.48,56.829023,5,8.227197
661486.041293,1509601.946446,0.48,56.829023,5,8.226674
661486.041293,1509601.946446,0.48,56.829023,5,8.226233
661486.041293,1509601.946446,0.48,56.829023,5,8.225864
661486.041293,1509601.946446,0.48,56.829023,5,8.225553
661486.041293,1509601.946446,0.48,56.829023,5,8.225292
661486.041293,1509601.946446,0.48,56.829023,5,8.225073
661486.041293,1509601.946446,0.48,56.829023,5,8.224889
661486.041293,1509601.946446,0.48,56.829023,5,8.224735
661486.041293,1509601.946446,0.48,56.829023,5,8.224605
661486.041293,1509601.946446,0.48,56.829023,5,8.224496
661486.041293,1509601.946446,0.48,56.829023,5,8.224404
661486.041293,1509601.946446,0.48,56.829023,5,8.224327
661486.041293,1509601.946446,0.48,90.29,5,7.124327
661486.041293,1509601.946446,0.48,90.29,5,6.037811
661486.041293,1509601.946446,0.48,90.29,5,5.125138
661486.041293,1509601.946446,0.48,90.29,5,4.358492
661486.041293,1509601.946446,0.48,90.29,5,3.714509
661486.041293,1509601.946446,0.48,90.29,5,3.173564
661486.041293,1509601.946446,0.48,90.29,5,2.71917
661486.041293,1509601.946446,0.48,90.29,5,2.337479
661486.041293,1509601.946446,0.48,90.29,5,2.016859
661486.041293,1509601.946446,0.48,90.29,5,1.747537
661486.041293,1509601.946446,0.48,90.29,5,1.521308
661486.041293,1509601.946446,0.48,90.29,5,1.331275
661486.041293,1509601.946446,0.48,90.29,5,1.171647
661486.041293,1509601.946446,0.48,90.29,5,1.03756
661486.041293,1509601.946446,0.48,90.29,5,0.924926
661486.041293,1509601.946446,0.48,90.29,5,0.830314
661486.041293,1509601.946446,0.48,90.29,5,0.75084
661486.041293,1509601.946446,0.48,90.29,5,0.684082
661486.041293,1509601.946446,0.48,90.29,5,0.628005
661486.039705,1509602.204572,0.48,93.76,5,0.439543
661486.039705,1509602.204572,0.48,93.76,5,0.281235
661486.039705,1509602.204572,0.48,93.76,5,0.148256
661486.039705,1509602.204572,0.48,93.76,5,0.036553
661486.039705,1509602.204572,0.48,93.76,5,-0.057277
661486.039705,1509602.204572,0.48,93.76,5,-0.136094
661486.039705,1509602.204572,0.48,93.76,5,-0.2023
661486.039705,1509602.204572,0.48,93.76,5,-0.257914
661486.039705,1509602.204572,0.48,93.76,5,-0.304629
661486.039705,1509602.204572,0.48,93.76,5,-0.34387
661486.039705,1509602.204572,0.48,93.76,5,-0.376832
661486.039705,1509602.204572,0.48,93.76,5,-0.40452
661486.039705,1509602.204572,0.48,93.76,5,-0.427779
661486.039705,1509602.204572,0.48,93.76,5,-0.447315
661486.039705,1509602.204572,0.48,93.76,5,-0.463726
661486.039705,1509602.204572,0.48,93.76,5,-0.477512
661486.039705,1509602.204572,0.48,93.76,5,-0.489091
661486.039705,1509602.204572,0.48,93.76,5,-0.498818
661486.039705,1509602.204572,0.48,93.76,5,-0.506989
661486.039705,1509602.204572,0.48,93.76,5,-0.513852
661486.017818,1509602.831339,0.48,90.1,5,-0.36589
661486.017818,1509602.831339,0.48,90.1,5,-0.241602
661486.017818,1509602.831339,0.48,90.1,5,-0.1372
661486.017818,1509602.831339,0.48,90.1,5,-0.049502
661486.017818,1509602.831339,0.48,90.1,5,0.024164
661486.017818,1509602.831339,0.48,90.1,5,0.086043
661486.017818,1509602.831339,0.48,90.1,5,0.138022
661486.017818,1509602.831339,0.48,90.1,5,0.181684
661486.017818,1509602.831339,0.48,90.1,5,0.21836
661486.017818,1509602.831339,0.48,90.1,5,0.249168
661486.017818,1509602.831339,0.48,90.1,5,0.275047
661486.017818,1509602.831339,0.48,90.1,5,0.296785
661486.017818,1509602.831339,0.48,90.1,5,0.315045
661486.017818,1509602.831339,0.48,90.1,5,0.330383
661486.017818,1509602.831339,0.48,90.1,5,0.343268
661486.017818,1509602.831339,0.48,90.1,5,0.35409
661486.017818,1509602.831339,0.48,90.1,5,0.363181
661486.017818,1509602.831339,0.48,90.1,5,0.370818
661486.017818,1509602.831339,0.48,90.1,5,0.377233
661486.017818,1509602.831339,0.48,90.1,5,0.382621
661485.978014,1509603.439557,0.48,96.11,5,0.11096
661485.978014,1509603.439557,0.48,96.11,5,-0.117236
661485.978014,1509603.439557,0.48,96.11,5,-0.30892
661485.978014,1509603.439557,0.48,96.11,5,-0.469935
661485.978014,1509603.439557,0.48,96.11,5,-0.605188
661485.978014,1509603.439557,0.48,96.11,5,-0.7188
661485.978014,1509603.439557,0.48,96.11,5,-0.814234
661485.978014,1509603.439557,0.48,96.11,5,-0.894398
661485.978014,1509603.439557,0.48,96.11,5,-0.961737
661485.978014,1509603.439557,0.48,96.11,5,-1.018301
661485.978014,1509603.439557,0.48,96.11,5,-1.065815
661485.978014,1509603.439557,0.48,96.11,5,-1.105726
