x,y
661488.202030611,1509614.165877579
661485.569877447,1509614.094371875
661486.063262590,1509614.790686088
661485.519481304,1509615.251985830
661485.497685244,1509615.864002638
661485.482942717,1509616.501876424
661485.464435257,1509617.165540642
661485.442230912,1509617.843932745
661485.427170827,1509618.533431760
661485.419277685,1509619.230350173
661485.411361858,1509619.930956102
661485.407006820,1509620.638959247
661485.409818724,1509621.354381789
661485.408979106,1509622.077157181
661485.404419918,1509622.818347974
661485.406914259,1509623.585395746
661485.412855974,1509624.378278316
661485.415032754,1509625.196951318
661485.424263059,1509626.041481300
661485.437031467,1509626.897096014
661485.449754504,1509627.760085762
661485.466038325,1509628.630472725
661485.489489084,1509629.508279086
661485.505659484,1509630.397103632
661485.521784514,1509631.293303212
661485.534280703,1509632.193168127
661485.546822254,1509633.085658009
661485.555757647,1509633.978125711
661485.571973388,1509634.859575227
661485.584628339,1509635.733627530
661485.600912120,1509636.604014499
661485.617195898,1509637.474401468
661485.629805470,1509638.355828806
661485.635089321,1509639.255649361
661485.643843223,1509640.177617198
661485.641619884,1509641.125331104
661485.635654294,1509642.095147926
661485.629643334,1509643.072339782
661485.623609687,1509644.053219156
661485.606734901,1509645.037719499
661485.593443579,1509646.025929542
661485.580197620,1509647.006764552
661485.559739355,1509647.987555198
661485.542864555,1509648.972055543
661485.529573220,1509649.960265588
661485.516236515,1509650.955850667
661485.502763708,1509651.973560845
661485.496412467,1509653.006065455
661485.482803555,1509654.045900733
661485.476384256,1509655.089467893
661485.469987636,1509656.129347537
661485.460030229,1509657.161829967
661485.450095500,1509658.190624881
661485.443789600,1509659.215754461
661485.433877547,1509660.240861860
661485.431200469,1509661.262326108
661485.435713002,1509662.287522239
661485.443854362,1509663.309053037
661485.455601865,1509664.330606018
661485.474538976,1509665.355890882
661485.493453397,1509666.384863263
661485.512367812,1509667.413835645
661485.534888368,1509668.442830211
661485.557340869,1509669.482887328
661485.576119165,1509670.533984812
661485.594806722,1509671.599832363
661485.613380855,1509672.684117498
661485.639076542,1509673.783197065
661485.671916465,1509674.893383549
661485.704711014,1509676.010945068
661485.733899408,1509677.128484404
661485.763065112,1509678.249711258
661485.781321633,1509679.385621631
661485.792365854,1509680.521487639
661485.803478119,1509681.646291098
661485.811029599,1509682.763697343
661485.815020293,1509683.873706372
661485.815450204,1509684.976318186
661485.801455529,1509686.078841269
661485.780203191,1509687.188695020
661485.733707835,1509688.298393490
661485.662082882,1509689.389499096
661485.540085320,1509690.461856558
661485.353313263,1509691.511689625
661485.072985610,1509692.527758288
661484.702731201,1509693.506397212
