x,y
661485.671696419,1509615.122858928
661485.493341639,1509616.051940038
661485.467612523,1509617.051606171
661485.437704876,1509618.051149169
661485.421308954,1509619.051000946
661485.410623804,1509620.050942456
661485.408626027,1509621.050928150
661485.409009578,1509622.050925336
661485.405176180,1509623.050910067
661485.410402618,1509624.050894170
661485.414644370,1509625.050882600
661485.424402579,1509626.050830603
661485.439296337,1509627.050719683
661485.455189498,1509628.050591758
661485.477255170,1509629.050340480
661485.499346212,1509630.050087435
661485.517405476,1509631.049924349
661485.532289954,1509632.049812017
661485.546317152,1509633.049713630
661485.557073516,1509634.049653248
661485.574723157,1509635.049496301
661485.590535448,1509636.049369346
661485.609240841,1509637.049194385
661485.625416897,1509638.049061176
661485.633875957,1509639.049017835
661485.642621824,1509640.048978514
661485.641799027,1509641.048970318
661485.635938453,1509642.048952634
661485.629787310,1509643.048933716
661485.623636164,1509644.048914797
661485.606586285,1509645.048769106
661485.593136357,1509646.048678652
661485.579325348,1509647.048582192
661485.558696978,1509648.048369010
661485.541840063,1509649.048226443
661485.528396120,1509650.048136069
661485.515015993,1509651.048046550
661485.502306032,1509652.047964046
661485.495864400,1509653.047942333
661485.482791523,1509654.047856832
661485.476640335,1509655.047837914
661485.470489143,1509656.047818995
661485.461130193,1509657.047774742
661485.451475406,1509658.047728134
661485.444823325,1509659.047705256
661485.435745640,1509660.047663188
661485.431763094,1509661.047651386
661485.434657143,1509662.047643041
661485.441770775,1509663.047616578
661485.452346928,1509664.047559446
661485.468841460,1509665.047418474
661485.487247422,1509666.047249069
661485.505626168,1509667.047080165
661485.526222316,1509668.046866617
661485.547923076,1509669.046631117
661485.567408965,1509670.046439546
661485.585101314,1509671.046283010
661485.602451978,1509672.046132456
661485.621840004,1509673.045939985
661485.646839266,1509674.045623736
661485.676371114,1509675.045187572
661485.705594216,1509676.044760316
661485.731703761,1509677.044419404
661485.757716194,1509678.044081023
661485.775829575,1509679.043908896
661485.787721542,1509680.043833651
661485.797525789,1509681.043785586
661485.806164144,1509682.043747108
661485.812036365,1509683.043728858
661485.815086583,1509684.043723481
661485.814594677,1509685.043717981
661485.801902382,1509686.043637430
661485.782984306,1509687.043457760
