x,y,speed,heading,fix_quality
661508.872031365,1509777.324324605,0.46362800000000004,13.54,4
661508.994842791,1509777.878228735,0.561288,14.43,4
661509.099396661,1509778.468897099,0.62451,13.4,4
661509.258042519,1509779.059898278,0.548952,14.22,4
661509.380967365,1509779.595364826,0.576194,11.14,4
661509.520675008,1509780.333755756,0.617314,14.95,4
661509.679434285,1509780.906319355,0.54741,18.05,4
661509.820389773,1509781.441896847,0.579278,14.9,4
661509.960891484,1509782.051224682,0.612688,15.41,4
661510.119537292,1509782.642225872,0.629136,15.45,4
661510.278296532,1509783.214789479,0.604464,16.65,4
661510.454859546,1509783.824339198,0.629136,14.18,4
661510.631422547,1509784.433888919,0.639416,17.74,4
661510.772037659,1509785.024779178,0.618856,15.11,4
661510.948373755,1509785.671204076,0.628622,16.09,4
661511.106906067,1509786.280642863,0.635304,16.38,4
661511.265438371,1509786.890081654,0.656378,14.95,4
661511.423630331,1509787.554833203,0.6656299999999999,14.6,4
661511.617997049,1509788.201369050,0.648668,16.32,4
661511.776075545,1509788.884558190,0.674882,14.4,4
661511.952525027,1509789.512545515,0.648154,16.28,4
661512.128974494,1509790.140532843,0.651752,15.87,4
661512.287166406,1509790.805284403,0.65535,16.65,4
661512.481646514,1509791.433382677,0.687732,16.08,4
661512.640178739,1509792.042821484,0.6532939999999999,13.9,4
661512.816628168,1509792.670808821,0.647126,15.72,4
661512.993077588,1509793.298796160,0.6615179999999999,15.11,4
661513.151382897,1509793.945110146,0.687732,12.77,4
661513.327718849,1509794.591535076,0.644556,15.61,4
661513.503941348,1509795.256397594,0.667172,16.24,4
661513.680390725,1509795.884384942,0.658948,15.7,4
661513.838809438,1509796.512261351,0.636846,15.11,4
661513.997341593,1509797.121700175,0.600866,16.64,4
661514.174017834,1509797.712812358,0.621426,16.16,4
661514.332549966,1509798.322251186,0.662546,14.63,4
661514.490968648,1509798.950127603,0.6620320000000001,15.83,4
661514.667417967,1509799.578114965,0.646098,16.62,4
661514.825950071,1509800.187553799,0.641472,14.89,4
661514.984255275,1509800.833867809,0.65021,15.29,4
661515.142673918,1509801.461744234,0.6450699999999999,14.85,4
661515.301092549,1509802.089620661,0.636846,16.73,4
661515.459511172,1509802.717497090,0.6347900000000001,13.59,4
661515.636073882,1509803.327046879,0.65021,16.75,4
661515.776461837,1509803.954812368,0.6743680000000001,13.49,4
661515.952797632,1509804.601237334,0.68105,12.88,4
661516.110875870,1509805.284426530,0.711376,15.7,4
661516.286984749,1509805.967726674,0.6897880000000001,17.1,4
661516.445062968,1509806.650915875,0.677452,13.55,4
661516.639542817,1509807.279014209,0.661004,16.47,4
661516.815765107,1509807.943876773,0.687218,19.41,4
