x,y
831865.590205035,1644140.871314564
831864.891567766,1644140.750904040
831863.731221610,1644140.517046551
831862.774723967,1644140.345077923
831861.789450580,1644140.176404162
831860.803922352,1644140.026187634
831859.975462946,1644139.944598386
831859.143056173,1644139.888799670
831858.313220655,1644139.906879348
831857.490056664,1644139.961972600
831856.673768071,1644140.039313666
831855.860662347,1644140.146235849
831855.050841430,1644140.275356272
831854.241581163,1644140.363870885
831853.432320907,1644140.452385525
831852.612288874,1644140.540751468
831851.792307820,1644140.625425998
831850.979558936,1644140.706508264
831850.166810063,1644140.787590555
831849.329232824,1644140.846177224
831848.498785822,1644140.908554506
831847.668440761,1644140.963548936
831846.831016449,1644141.011061369
831845.990103483,1644141.051141378
831845.159707487,1644141.109827334
831844.325822835,1644141.161080865
831843.495426858,1644141.219766874
831842.664877997,1644141.289527229
831841.830585657,1644141.370312357
831841.006912222,1644141.462320547
831840.183085904,1644141.565403081
831839.366287898,1644141.679659103
831838.552978572,1644141.801347600
831837.746646594,1644141.937901024
831836.943956189,1644142.070812607
831836.144754467,1644142.211156665
831835.338371568,1644142.351401603
831834.532039647,1644142.487955128
831833.725809669,1644142.617125801
831832.919528741,1644142.749987938
831832.109759160,1644142.875417651
831831.307272709,1644142.993563654
831830.512018424,1644143.108117384
831829.734768091,1644143.219227555
831828.968289558,1644143.330486461
831828.205452593,1644143.438103523
831827.453336463,1644143.549560759
831826.708248647,1644143.672191472
831825.959417362,1644143.805846953
831825.217716316,1644143.943293034
831824.500843675,1644144.103234759
831823.790999349,1644144.274349958
831823.088387189,1644144.441872878
831822.389467562,1644144.602062510
831821.697525289,1644144.777117054
831821.013019028,1644144.933813561
831820.342824198,1644145.094399802
831819.686940796,1644145.258875775
831819.045317861,1644145.430932920
831818.393076041,1644145.591767059
831817.715547188,1644145.763328547
831817.002163368,1644145.930702923
831816.274366222,1644146.101570481
831815.517844337,1644146.272041507
831814.746807209,1644146.453388595
831813.968537948,1644146.638328007
831813.197297010,1644146.834440894
831812.418772981,1644147.037837541
831811.633067780,1644147.241135075
831810.847260679,1644147.451815510
831810.065044190,1644147.662545536
831809.282776759,1644147.876967021
831808.485994093,1644148.102264573
831807.699881307,1644148.335093728
831806.928181876,1644148.564429737
831806.163612691,1644148.797556341
831805.409917225,1644149.023448792
831804.649142511,1644149.241859254
831803.895447084,1644149.467751749
831803.138110124,1644149.697286134
831802.377233547,1644149.923079536
831801.602096532,1644150.141291815
831800.848554055,1644150.356110080
831800.091624838,1644150.556113047
831799.324178652,1644150.737510146
831798.553192849,1644150.915166264
831797.782359936,1644151.081748090
831797.008089320,1644151.237206059
831796.233971594,1644151.381589736
831795.467136983,1644151.518689693
831794.718306309,1644151.652346064
831793.969679479,1644151.771236705
831793.210586629,1644151.867830047
831792.437488121,1644151.938385086
831791.657412268,1644151.994075267
831790.845326836,1644152.027170759
831790.018980956,1644152.052685141
831789.199867225,1644152.074607242
831788.376908125,1644152.114936995
831787.543330126,1644152.144043769
831786.716933321,1644152.173249700
831785.894025202,1644152.209888098
831785.056754722,1644152.246328267
831784.233948534,1644152.275583845
831783.410989484,1644152.315913764
831782.584490808,1644152.352502710
831781.761531776,1644152.392832685
831780.942112389,1644152.436903688
831780.115511826,1644152.480875591
831779.296041502,1644152.528638086
831778.472827728,1644152.587425358
831777.645870507,1644152.657237405
831776.822401977,1644152.734481918
831775.998780593,1644152.822800769
831775.175108266,1644152.914811085
831774.358617134,1644153.006920554
831773.542227925,1644153.091647175
831772.715219814,1644153.165150824
831771.877541847,1644153.231122938
831771.039965800,1644153.289712206
831770.184589667,1644153.336979381
831769.318543676,1644153.376715024
831768.448958057,1644153.412709699
831767.575883763,1644153.441271969
831766.692139610,1644153.462302710
831765.808497372,1644153.475950610
831764.917877772,1644153.474733672
831764.020178902,1644153.466034771
