x,y
831865.590205035,1644140.871314564
831864.606242621,1644140.693399285
831863.625531500,1644140.498044536
831862.641116785,1644140.322205057
831861.655059010,1644140.155919883
831860.665558660,1644140.012561149
831859.669583628,1644139.924094380
831858.670877310,1644139.899087060
831857.672395851,1644139.949768885
831856.676447523,1644140.039059795
831855.685669827,1644140.174137213
831854.695805924,1644140.314189058
831853.701734470,1644140.422917818
831852.707537186,1644140.530487592
831851.712843388,1644140.633353608
831850.717782876,1644140.732623837
831849.721605706,1644140.818731612
831848.724268602,1644140.891617840
831847.726595550,1644140.959697297
831846.728186452,1644141.015962504
831845.729673889,1644141.069546524
831844.731902797,1644141.136121739
831843.734144862,1644141.202896119
831842.737409413,1644141.283435093
831841.742117168,1644141.380194702
831840.748703362,1644141.494629327
831839.757259932,1644141.624968826
831838.767729271,1644141.769216295
831837.781110040,1644141.932064592
831836.794812396,1644142.097003048
831835.809787528,1644142.269413627
831834.824185320,1644142.438479819
831833.837206417,1644142.599278297
831832.850325796,1644142.760707167
831831.861829762,1644142.911919037
831830.872297185,1644143.056220429
831829.882416375,1644143.198120808
831828.892698735,1644143.341150420
831827.902808952,1644143.482952745
831826.914960671,1644143.638169653
831825.930075534,1644143.811284345
831824.948815123,1644144.003287680
831823.974895001,1644144.230020040
831823.002095230,1644144.461650656
831822.029326696,1644144.693174583
831821.056365466,1644144.923890737
831820.084457304,1644145.159190504
831819.116905468,1644145.411736039
831818.146746341,1644145.654141805
831817.175033007,1644145.890144184
831816.201346665,1644146.118024359
831815.226436200,1644146.340580381
831814.253266988,1644146.570668106
831813.283011345,1644146.812645259
831812.315278466,1644147.064616261
831811.347819365,1644147.317612190
831810.382082582,1644147.577135027
831809.417279268,1644147.840099543
831808.454819157,1644148.111497897
831807.496045985,1644148.395670136
831806.538312401,1644148.683305764
831805.580950542,1644148.972187856
831804.620458761,1644149.250456154
831803.662773505,1644149.538270672
831802.705009237,1644149.825810688
831801.743760196,1644150.101411445
831800.781586834,1644150.373804790
831799.812944984,1644150.621983095
831798.839123557,1644150.849280045
831797.862559311,1644151.064416502
831796.882036679,1644151.260716622
831795.898531527,1644151.441562014
831794.914111945,1644151.617397348
831793.926932945,1644151.776676133
831792.933859275,1644151.893084926
831791.937195380,1644151.974101348
831790.938504207,1644152.023373436
831789.939003989,1644152.054825580
831788.939581012,1644152.087362771
831787.940522207,1644152.130174665
831786.941140226,1644152.165325938
831785.942047849,1644152.207749982
