x,y,speed,heading,fix_quality
831865.590205035,1644140.871314564,0.505776,261.73,5
831864.891567766,1644140.750904040,0.796186,260.67,5
831864.085212596,1644140.629006263,0.8213720000000001,261.63,5
831862.456587991,1644140.237305328,0.8295960000000001,262.19,5
831861.632534663,1644140.096702562,0.8172600000000001,264.79,4
831860.807716820,1644140.011471421,0.80441,265.46,4
831859.965200831,1644139.907535235,0.801326,267.95,4
831859.157571457,1644139.877923622,0.836278,267.63,4
831858.314290962,1644139.829359089,0.818288,269.53,4
831857.470500794,1644139.817708982,0.830624,270.72,5
831856.658539232,1644140.101869813,0.811092,275.7,4
831855.849380875,1644140.183001495,0.7653460000000001,274.46,4
831855.076128494,1644140.264628949,0.793616,276.65,4
831854.248762342,1644140.363970008,0.797214,277.91,4
831853.421396206,1644140.463311094,0.815204,278.15,4
831852.612237898,1644140.544442881,0.796186,280.57,4
831851.803079595,1644140.625574693,0.821886,277.63,4
831850.975968328,1644140.706458663,0.786934,276.09,5
831850.148857073,1644140.787342661,0.797728,276.09,5
831849.357651787,1644140.868722421,0.815718,276.35,5
831848.548493530,1644140.949854339,0.833194,276.98,5
831847.615193400,1644140.918508035,0.839876,277.58,5
831846.823733318,1644141.018345073,0.836792,275.11,5
831845.997131770,1644141.062314815,0.82497,274.48,5
831845.170530229,1644141.106284586,0.830624,274.74,5
831844.343928700,1644141.150254383,0.8244560000000001,274.92,5
831843.463213416,1644141.211937813,0.836278,272.71,5
831842.654310059,1644141.274612727,0.841932,275.34,5
831841.845151886,1644141.355744864,0.8285680000000001,275.25,5
831841.017785925,1644141.455086359,0.829082,278.14,5
831840.172466999,1644141.554180019,0.850156,278.53,5
831839.344846239,1644141.671978765,0.811606,277.54,5
831838.535178473,1644141.790025398,0.803896,281.34,5
831837.761161854,1644141.927024971,0.80698,279.67,5
831836.951239295,1644142.063528848,0.77614,279.01,5
831836.140807107,1644142.236947140,0.822914,282.28,5
831835.331394217,1644142.336536679,0.826512,279.85,5
831834.539169860,1644142.491745685,0.856324,280.74,5
831833.729247359,1644142.628249664,0.8203440000000001,281.0,5
831832.919579691,1644142.746296474,0.813662,280.43,5
831832.109657218,1644142.882800503,0.798242,280.18,5
831831.299989578,1644143.000847364,0.83525,278.78,5
831830.490321952,1644143.118894251,0.8080080000000001,279.68,5
831829.716815105,1644143.218979677,0.7715139999999999,280.91,5
831828.943308268,1644143.319065128,0.652266,278.52,5
831828.223405555,1644143.438351354,0.7206279999999999,279.7,5
831827.467596908,1644143.557141896,0.722684,281.22,5
831826.676137128,1644143.656979562,0.71446,283.19,5
831825.956234454,1644143.776265852,0.698526,279.69,5
831825.217869190,1644143.932218698,0.732964,281.13,5
831824.479249128,1644144.106628758,0.696984,280.61,5
831823.759091680,1644144.244372302,0.73245,286.59,5
831823.091773923,1644144.456688184,0.700582,282.85,5
831822.407012824,1644144.631841849,0.649696,283.17,5
831821.704808389,1644144.769833297,0.695956,285.58,5
831820.984650993,1644144.907576917,0.646098,283.73,5
831820.299380317,1644145.119645021,0.6306780000000001,281.65,5
831819.669242618,1644145.240170721,0.63222,287.77,5
831819.056038671,1644145.434773052,0.6111460000000001,284.12,5
831818.425391378,1644145.592213166,0.646612,286.98,5
831817.776536319,1644145.767862642,0.666658,282.24,5
831817.038171218,1644145.923815716,0.713946,284.4,5
831816.281598356,1644146.097978158,0.790532,285.64,5
831815.489119568,1644146.271644934,0.76329,283.7,5
831814.786405650,1644146.446550952,0.685162,286.9,5
831813.993926894,1644146.620217772,0.775112,281.7,5
831813.182985576,1644146.830551158,0.79413,288.55,5
831812.390252051,1644147.022675219,0.7884760000000001,287.48,5
831811.632914881,1644147.252209368,0.756094,282.67,5
831810.893785502,1644147.463534187,0.772542,285.96,5
831810.065400891,1644147.636705445,0.737076,285.17,5
831809.253950069,1644147.883953332,0.7884760000000001,285.29,5
831808.479169605,1644148.076325348,0.797728,290.33,5
831807.721577727,1644148.324316796,0.720114,289.78,5
831806.909872171,1644148.590021944,0.7196,289.94,5
831806.134836964,1644148.800851218,0.7375900000000001,288.74,5
831805.395452913,1644149.030633379,0.7797379999999999,286.47,5
831804.656323682,1644149.241958368,0.749412,282.14,5
831803.953100397,1644149.453779049,0.7540380000000001,287.56,5
831803.105998601,1644149.682074257,0.7530100000000001,287.36,5
831802.366359829,1644149.930313690,0.759692,286.06,5
831801.608768111,1644150.178305308,0.74787,287.44,5
831800.851940795,1644150.370925377,0.758664,288.65,5
831800.077415324,1644150.544840445,0.718058,284.43,5
831799.338286216,1644150.756165580,0.762776,285.7,5
831798.581713742,1644150.930328524,0.781794,283.82,5
831797.771537184,1644151.085290806,0.7607200000000001,282.62,5
831796.997011777,1644151.259205964,0.730394,286.34,5
831796.223250759,1644151.377749578,0.73245,283.39,5
831795.466933137,1644151.533455422,0.773056,283.47,5
831794.711125111,1644151.652246910,0.727824,279.23,5
831793.937364131,1644151.770790592,0.774598,279.43,5
831793.252858408,1644151.927487816,0.776654,276.89,5
831792.480116606,1644151.972202787,0.8239420000000001,272.45,4
831791.671468888,1644152.016422129,0.8321660000000001,272.77,4
831790.845632571,1644152.005022105,0.794644,271.94,4
831790.036984868,1644152.049241500,0.7694580000000001,272.62,4
831789.192431245,1644152.092965273,0.7843640000000001,274.09,4
831788.348387206,1644152.099774698,0.8121200000000001,276.0,4
831787.575900235,1644152.126032636,0.805438,272.22,4
831786.730837071,1644152.206670868,0.77871,275.63,4
831785.869094874,1644152.194775368,0.79927,272.58,5
831785.060447218,1644152.238994928,0.829082,274.09,4
831784.233846612,1644152.282966692,0.793102,272.17,4
831783.389547835,1644152.308233477,0.776654,275.14,4
831782.616806131,1644152.352948759,0.735534,270.31,4
831781.754299626,1644152.396424966,0.8481,278.1,4
831780.927953836,1644152.421939655,0.798242,273.83,5
831780.119051452,1644152.484616565,0.786934,271.92,5
831779.292450901,1644152.528588496,0.803382,273.54,5
831778.483803317,1644152.572808271,0.791046,273.32,5
831777.656948003,1644152.635237444,0.823428,275.16,5
831776.811884966,1644152.715876015,0.810578,275.47,5
831775.984265346,1644152.833676802,0.8244560000000001,277.41,5
831775.175108253,1644152.914811059,0.801326,277.15,5
831774.365696399,1644153.014402527,0.8475860000000001,278.86,5
831773.538586365,1644153.095289023,0.797728,274.84,5
831772.729429307,1644153.176423358,0.8080080000000001,278.05,5
831771.902319300,1644153.257309907,0.83525,276.33,5
831771.040067698,1644153.282329303,0.8326800000000001,274.59,5
831770.177306564,1644153.344263100,0.852726,272.61,5
831769.350706131,1644153.388235363,0.8337080000000001,272.33,5
831768.452548640,1644153.412759229,0.8640340000000001,271.24,4
831767.572089345,1644153.455988123,0.897444,272.59,4
