x,y
831938.770790321,1644188.384423735
831938.369343057,1644187.548146633
831937.975790644,1644186.660288547
831937.585777841,1644185.776171490
831937.195815984,1644184.888363004
831936.802365461,1644183.993122060
831936.390808999,1644183.108707514
831935.960993656,1644182.246193694
831935.512868450,1644181.409272043
831935.043046712,1644180.583127205
831934.562147277,1644179.778982272
831934.063141900,1644178.985663743
831933.546081560,1644178.199480179
831933.014556853,1644177.420481167
831932.468567774,1644176.648666708
831931.908165306,1644175.880345363
831931.340530633,1644175.115616306
831930.765612775,1644174.358170981
831930.183564671,1644173.596935061
831929.590693767,1644172.839241844
831928.979869854,1644172.081300718
831928.354581568,1644171.330544154
831927.714879885,1644170.583280710
831927.053481662,1644169.846794099
831926.381209658,1644169.117541639
831925.705143103,1644168.403005387
831925.021844341,1644167.692061431
831924.338341625,1644166.995883269
831923.647504746,1644166.310680288
831922.956565869,1644165.632860218
831922.261934404,1644164.962373473
831921.559866821,1644164.310244794
831920.850618012,1644163.658016971
831920.144908780,1644163.009530205
831919.435506962,1644162.368376764
831918.725901199,1644161.741989117
831918.027016208,1644161.119441693
831917.327927272,1644160.511660062
831916.625094776,1644159.914903199
831915.922007361,1644159.336603570
831915.211738722,1644158.758204800
831914.479773549,1644158.190582879
831913.736934604,1644157.630195118
831912.997584270,1644157.077239852
831912.251001738,1644156.527876889
831911.497034078,1644155.993180554
831910.750145626,1644155.465966298
831910.003002265,1644154.957209278
831909.252064378,1644154.463168468
831908.497382939,1644153.980152427
831907.756910930,1644153.508409070
831907.023314236,1644153.058913553
831906.300438331,1644152.613258252
831905.581000072,1644152.178726884
831904.868488107,1644151.762751912
831904.155772222,1644151.361542730
831903.435824149,1644150.963925851
831902.712030587,1644150.584716619
831901.980800941,1644150.223865455
831901.249367380,1644149.877780081
831900.506907143,1644149.550003192
831899.760601422,1644149.240633952
831899.010450220,1644148.949672362
831898.259993162,1644148.680859443
831897.498611383,1644148.422972130
831896.733435100,1644148.179801025
831895.971645509,1644147.951445291
831895.206112392,1644147.734114325
831894.433347100,1644147.520375666
831893.660428880,1644147.317711357
831892.890897357,1644147.129862416
831892.114031716,1644146.952988664
831891.347886885,1644146.779955120
831890.592411892,1644146.614453222
831889.836783976,1644146.460025674
831889.077565458,1644146.305548571
831888.329118726,1644146.151220233
831887.577030419,1644146.000533781
831886.821351511,1644145.849797774
831886.065621627,1644145.702753233
831885.313482336,1644145.555758299
831884.557803414,1644145.405022369
831883.805613142,1644145.261718924
831883.049883240,1644145.114674486
831882.304925124,1644144.967778809
831881.563608570,1644144.817241295
831880.825831637,1644144.670444825
831880.095388805,1644144.512673215
831879.375564845,1644144.366124684
831878.655740881,1644144.219576177
831877.942996165,1644144.080509730
831877.226609877,1644143.945085169
831876.499349855,1644143.816894776
831875.779271023,1644143.688803562
831875.073605544,1644143.557219241
831874.375070284,1644143.429425536
831873.683665245,1644143.305422449
831872.999390425,1644143.185209978
831872.315115603,1644143.064997529
831871.623506676,1644142.955760266
831870.921176928,1644142.842682853
831870.229517027,1644142.737137072
831869.526983398,1644142.638825462
831868.817166635,1644142.547797600
831868.107298904,1644142.460461200
831867.397380201,1644142.376816261
831866.673099113,1644142.292973039
831865.955999217,1644142.209228992
831865.231769097,1644142.121694376
831864.496869123,1644142.026628176
831863.765406841,1644141.942685894
831863.033944558,1644141.858743634
831862.295250114,1644141.778393686
831861.563583959,1644141.709217232
831860.835355497,1644141.651164696
831860.107178004,1644141.589420742
831859.378898576,1644141.535059690
831858.661339971,1644141.484538826
831857.940241739,1644141.430276969
831857.222683137,1644141.379756150
831856.501330072,1644141.343951535
831855.779926043,1644141.311838382
831855.054931420,1644141.279675676
831854.329732933,1644141.262278751
831853.608074078,1644141.248622861
831852.882926564,1644141.227534540
831852.164807347,1644141.217619707
831851.446433303,1644141.226162092
831850.735240455,1644141.234803647
831850.023945680,1644141.250828101
831849.319679203,1644141.278026041
831848.604589980,1644141.308766721
831847.889551728,1644141.335815983
831847.167230360,1644141.370148997
831846.437727806,1644141.404382886
