x,y
831938.770790321,1644188.384423735
831938.340021021,1644187.481995834
831937.934951316,1644186.567710186
831937.531540347,1644185.652691445
831937.129352322,1644184.737134354
831936.723341875,1644183.823304271
831936.296333486,1644182.919122761
831935.843860234,1644182.027434526
831935.365157968,1644181.149534695
831934.864226901,1644180.284110333
831934.343082735,1644179.430713560
831933.802556655,1644178.589447246
831933.245530982,1644177.758995287
831932.673710804,1644176.938658510
831932.088604978,1644176.127731232
831931.494646692,1644175.323244617
831930.892273161,1644174.525044068
831930.285460601,1644173.730200406
831929.670703555,1644172.941494920
831929.044672812,1644172.161711498
831928.405984596,1644171.392261543
831927.756498371,1644170.631897079
831927.089479568,1644169.886878839
831926.412200152,1644169.151158826
831925.725351360,1644168.424363538
831925.032568016,1644167.703218970
831924.332021435,1644166.989614620
831923.621887155,1644166.285549096
831922.907651853,1644165.585646406
831922.186799072,1644164.892582607
831921.453624719,1644164.212544164
831920.717502701,1644163.535695322
831919.979936528,1644162.860429195
831919.235966059,1644162.192236767
831918.487222296,1644161.529380550
831917.737457553,1644160.867702004
831916.979303436,1644160.215652595
831916.211648018,1644159.574837225
831915.437395093,1644158.941965367
831914.651474301,1644158.323732808
831913.854914689,1644157.719197716
831913.054474122,1644157.119787399
831912.249340058,1644156.526698464
831911.433541616,1644155.948362441
831910.615003917,1644155.373943406
831909.786140310,1644154.814536152
831908.948255362,1644154.268722679
831908.105471450,1644153.730471630
831907.256639800,1644153.201878749
831906.405014190,1644152.677729603
831905.549335020,1644152.160240361
831904.684082814,1644151.658944633
831903.811110477,1644151.171191047
831902.929786871,1644150.698803284
831902.035729454,1644150.250971875
831901.130835820,1644149.825451480
831900.213170299,1644149.428239227
831899.285034155,1644149.056175396
831898.346288121,1644148.711770205
831897.399052675,1644148.391332622
831896.444556237,1644148.093206058
831895.484593509,1644147.813173701
831894.521309930,1644147.544705249
831893.553869841,1644147.291699423
831892.581260739,1644147.059365553
831891.606012878,1644146.838252786
831890.629549371,1644146.622588929
831889.649878478,1644146.421996280
831888.670175551,1644146.221545522
831887.690051409,1644146.023178371
831886.709286293,1644145.827992921
831885.727749308,1644145.636720891
831884.746751414,1644145.442711991
831883.764768763,1644145.253771721
831882.783308446,1644145.062109537
831881.802769123,1644144.865807100
831880.822196607,1644144.669659679
831879.844112119,1644144.461515944
831878.864213667,1644144.262019020
831877.882993149,1644144.069166852
831876.899658534,1644143.887455133
831875.915002887,1644143.712948223
831874.931652934,1644143.531249685
831873.947709291,1644143.352778593
831872.962959383,1644143.178809823
831871.977071250,1644143.011604580
831870.989617585,1644142.853702025
831870.000734895,1644142.705121608
831869.009588252,1644142.572474008
831868.017140121,1644142.449838398
831867.023921093,1644142.333584406
831866.030630009,1644142.217944493
831865.038022318,1644142.096631414
831864.045493849,1644141.974828553
831863.052014388,1644141.860817319
831862.057550127,1644141.755919991
831861.061346307,1644141.669180113
831860.064794173,1644141.586257080
831859.067473212,1644141.513133288
831858.070150001,1644141.440052425
831857.072478491,1644141.372300689
831856.073605192,1644141.324911450
831855.074589747,1644141.280547772
831854.074863348,1644141.257455875
831853.075172211,1644141.233125316
831852.075328256,1644141.218683728
831851.075400107,1644141.230670439
831850.075592594,1644141.249664570
831849.076355408,1644141.288486189
831848.077168369,1644141.328718612
831847.078216015,1644141.374326237
831846.079489176,1644141.424569521
831845.081268996,1644141.484149063
831844.084271637,1644141.561083840
831843.089889918,1644141.666250501
831842.098378578,1644141.796064186
831841.109723132,1644141.946085866
831840.123545500,1644142.111765804
831839.137230636,1644142.276622532
831838.150944535,1644142.441648727
831837.164868602,1644142.607861540
831836.178397549,1644142.771774915
831835.193234544,1644142.943372992
831834.207045977,1644143.108986877
831833.221422400,1644143.277907202
831832.235075812,1644143.442566544
831831.249611283,1644143.612445391
831830.263387791,1644143.777853598
831829.277608060,1644143.945876274
831828.290915309,1644144.108402211
831827.305863847,1644144.280555337
831826.322934216,1644144.464514796
831825.341364946,1644144.655476417
831824.363781591,1644144.865911260
831823.389681177,1644145.091730440
831822.423437614,1644145.349095416
831821.464082874,1644145.631195656
831820.501701214,1644145.902857610
831819.530836146,1644146.141896545
831818.551753422,1644146.345175220
831817.572487166,1644146.547562929
831816.602535918,1644146.790543381
831815.638235958,1644147.055324431
831814.671937490,1644147.312571617
831813.699524302,1644147.545675258
831812.725511905,1644147.772148724
831811.750137373,1644147.992701351
831810.775729969,1644148.217481410
831809.801376506,1644148.442423034
831808.825543345,1644148.660937021
831807.849302073,1644148.877605668
831806.872172052,1644149.090247600
831805.895327090,1644149.304195334
831804.919162720,1644149.521184333
831803.946129218,1644149.751717029
831802.970057245,1644149.969117494
831801.994629701,1644150.189392245
831801.014174831,1644150.386125938
831800.036499521,1644150.596115078
831799.056223564,1644150.793685497
831798.079056707,1644151.006078207
831797.101728858,1644151.217807247
831796.125153036,1644151.432957506
831795.148743922,1644151.648884787
831794.171667533,1644151.861740478
831793.193032583,1644152.067334241
831792.213717550,1644152.269550609
831791.231477799,1644152.457100375
831790.244161941,1644152.615850205
831789.255620192,1644152.766758722
831788.264810930,1644152.901915198
831787.273028423,1644153.029848422
831786.279951389,1644153.147127157
831785.284989631,1644153.247221067
831784.288508523,1644153.330636390
831783.290805670,1644153.398375589
831782.292428610,1644153.455105614
831781.293487674,1644153.500925774
831780.294663625,1644153.549214193
831779.295547964,1644153.591201807
831778.296973287,1644153.643989730
831777.298933024,1644153.706534935
831776.300440125,1644153.761364375
831775.302499475,1644153.825340269
831774.304062861,1644153.880941862
831773.306223082,1644153.946466710
831772.308274115,1644154.010270220
831771.309617668,1644154.062013417
831770.310801298,1644154.110146630
831769.311362343,1644154.143289363
831768.311506609,1644154.157224085
831767.311735146,1644154.139389059
831766.312658922,1644154.097007603
831765.314576502,1644154.035426412
831764.317209262,1644153.962910417
831763.319704227,1644153.892336949
831762.322006471,1644153.824531948
831761.324517534,1644153.753712320
831760.327477640,1644153.676865192
831759.330904318,1644153.594186956
831758.334348972,1644153.511262490
831757.338048580,1644153.425329650
831756.342010245,1644153.336410733
831755.346208266,1644153.244885221
831754.350694011,1644153.150287829
831753.355572571,1644153.051631297
831752.360633698,1644152.951149265
831751.365641478,1644152.851196941
831750.371271295,1644152.745268207
831749.378441472,1644152.625965093
831748.389330372,1644152.479706735
831747.405678124,1644152.300384330
831746.428753519,1644152.087375920
831745.456112204,1644151.855120795
831744.479415982,1644151.640710223
831743.492071759,1644151.483012745
831742.495787416,1644151.398435956
