x,y,speed,heading,fix_quality
831938.770790321,1644188.384423735,0.7453,204.6,5
831938.369343057,1644187.548146633,0.9945900000000001,205.65,5
831937.950197707,1644186.693164393,0.916462,204.43,5
831937.585421009,1644185.802011571,0.964778,204.19,5
831937.203201126,1644184.873696401,1.003328,203.51,5
831936.820726305,1644183.963838452,0.987394,206.29,5
831936.419533772,1644183.109104204,0.966834,206.52,5
831935.982945093,1644182.216959672,0.9652919999999999,207.55,5
831935.527638700,1644181.379938843,0.960666,208.58,5
831935.054124410,1644180.561127301,0.9303400000000001,211.95,5
831934.580100275,1644179.779230193,0.920574,211.64,5
831934.070425083,1644178.978380017,0.937536,214.11,5
831933.578447915,1644178.196235005,0.967348,214.84,5
831933.032611816,1644177.413346200,0.94062,215.01,5
831932.468822711,1644176.630209479,0.945246,216.6,5
831931.922476738,1644175.884235133,0.9601520000000001,218.09,5
831931.340479691,1644175.119307727,0.9478160000000001,217.45,5
831930.776435574,1644174.354628278,0.955526,217.29,5
831930.194438449,1644173.589700916,0.94576,218.32,5
831929.594233422,1644172.842982850,0.961694,219.38,5
831929.012236218,1644172.078055532,0.960666,219.78,5
831928.376125172,1644171.330841647,0.985338,220.16,5
831927.722316011,1644170.564922648,0.9740300000000001,222.91,5
831927.067997017,1644169.835918092,0.995618,222.67,5
831926.395725009,1644169.106665632,0.9976740000000001,223.81,5
831925.705245102,1644168.395622475,0.98945,223.88,5
831925.014765152,1644167.684579348,0.973002,225.52,5
831924.341983236,1644166.992241386,0.989964,225.96,5
831923.651503205,1644166.281198314,0.94833,226.72,5
831922.978211432,1644165.625774819,0.957068,225.63,5
831922.251060704,1644164.969607572,0.976086,226.71,5
831921.560070769,1644164.295478999,0.964264,227.67,5
831920.868825911,1644163.639807662,0.961694,227.09,5
831920.141165290,1644163.020554915,0.9601520000000001,228.74,5
831919.431967383,1644162.364635709,0.944732,229.01,5
831918.722514548,1644161.727173739,0.959638,230.52,5
831918.013061681,1644161.089711797,0.921602,228.66,5
831917.320797093,1644160.507869425,0.932396,230.45,5
831916.646740333,1644159.907817795,0.929312,230.78,5
831915.936522704,1644159.325727555,0.903612,232.62,5
831915.208352068,1644158.743389423,0.865576,232.75,5
831914.497624605,1644158.198213652,0.920574,233.55,5
831913.769453901,1644157.615875577,0.897958,235.3,5
831912.986914468,1644157.069708188,0.89436,233.28,5
831912.222327980,1644156.523788749,0.890248,237.35,4
831911.511600396,1644155.978613093,0.924172,236.27,4
831910.764711943,1644155.451398838,0.902584,236.87,4
831909.999615602,1644154.942393901,0.91749,237.87,4
831909.252472209,1644154.433636910,0.863006,235.8,4
831908.486611177,1644153.980003649,0.862492,237.09,4
831907.756910958,1644153.508409042,0.87894,239.32,4
831906.991304750,1644153.036318636,0.810064,238.43,4
831906.297255557,1644152.583677116,0.8295960000000001,242.33,4
831905.584488740,1644152.186159322,0.8172600000000001,239.6,4
831904.872231648,1644151.751727146,0.818802,240.55,4
831904.159719663,1644151.335752200,0.82754,242.28,4
831903.428744926,1644150.956443778,0.837306,241.54,4
831902.733676130,1644150.577631203,0.8198300000000001,243.34,4
831901.984748378,1644150.198074925,0.8008120000000001,243.72,4
831901.253263839,1644149.855680991,0.79156,245.3,4
831900.503571432,1644149.531496380,0.78899,248.6,4
831899.771577119,1644149.226016907,0.78128,248.05,4
831899.021374946,1644148.938746757,0.801326,250.36,4
831898.253219772,1644148.651228728,0.80184,251.29,4
831897.502507831,1644148.400873039,0.803896,251.38,4
831896.751286144,1644148.187431784,0.789504,254.1,4
831895.964668220,1644147.936580340,0.78642,254.69,4
831895.195493532,1644147.722891235,0.814176,254.65,4
831894.444271816,1644147.509450059,0.79413,256.68,4
831893.674842246,1644147.314218210,0.812634,255.45,4
831892.887459686,1644147.118738487,0.805952,254.67,4
831892.100077119,1644146.923258792,0.780766,258.48,4
831891.347835919,1644146.783646533,0.805952,259.01,4
831890.559943612,1644146.625081299,0.761748,260.66,4
