X (m),Y (m),Heading (deg)
661489.1198247647,1509547.0377484362,0.0
661489.1588337738,1509549.49027946,89.0887523490319
661489.1259462913,1509551.905491696,90.78013744395263
661488.973525591,1509570.8222283742,90.46164801056216
661488.9590089604,1509573.1822388081,90.3524269054826
661488.9440386618,1509575.615999571,90.35242745497057
661489.0930341634,1509598.2959996338,89.6236027083012
661489.0956407252,1509600.8036216802,89.94044360042376
661489.0802164744,1509603.3111328196,90.35243445839811
661489.1467649998,1509627.6685096985,89.8434585064805
661489.1670617424,1509630.2315554589,89.546284582091
661489.205729465,1509632.7393993917,89.11664289137991
661489.4920515098,1509650.681607219,89.08575061895544
661489.4422664584,1509652.9123328803,91.27850767306958
661489.3383891482,1509655.1427257983,92.66654082031924
661489.2320025328,1509672.4371783885,90.35244984739913
661489.2721441665,1509674.7053338275,88.9860897216205
661489.2403896747,1509676.9361704385,90.81551265993483
661484.3268307112,1509693.0578784945,106.9501234109992
661482.3910787145,1509694.096952913,151.77395258210512
661480.2050516711,1509694.784160624,162.54874124632877
661462.7357783334,1509697.2027523585,172.11760319090598
661460.4803509895,1509697.4470160832,173.8189338601133
661458.1530276386,1509697.6539612482,174.91863402048475
661439.7036359733,1509698.1858354467,178.34868763151255
661437.4330130523,1509697.969050747,185.45370775112386
661435.1261019162,1509697.7889196435,184.4647810873406
661416.304411418,1509694.3542915678,190.34168365560654
661414.0198387254,1509693.4736452757,201.08041787813454
661411.8084090668,1509692.4275044587,205.3169986926477
661395.7772586686,1509680.8972097426,215.72531686051013
661394.1838595138,1509679.0435862504,229.31721230214583
661392.7169019169,1509677.153863682,232.1784541933735
661383.6082712627,1509660.0055882363,242.02414952710578
661382.9185603623,1509657.8071939084,252.58158877776668
661382.3548378262,1509655.6464506572,255.3778751379396
661380.0008002587,1509636.7327511483,262.9053344688116
661380.0156477462,1509634.317428851,270.3522046116522
661380.0484126274,1509631.9206549714,270.78320800273525
661380.1263697834,1509613.372233223,270.2408069960019
661380.1041354609,1509611.1226274604,269.4337268416728
661380.1361067677,1509608.8549166385,270.80773067338265
661380.3401643052,1509590.3257086107,270.63095859446054
661380.3543313327,1509588.0210118347,270.3521941244907
661380.3869824712,1509585.6426756005,270.7865392991663
661380.1495618228,1509565.5988159366,269.32135999719736
661380.1266469774,1509563.459835699,269.38621513105693
661380.157937858,1509561.3027503924,270.8310796307204
661383.1687927458,1509543.7680243738,279.7431376693319
661384.0452655073,1509541.9848997719,296.1758512069168
661384.9221917178,1509540.1280248933,295.27945371326575
661395.9921716307,1509528.616839891,313.88066122788246
661397.4792003674,1509527.2431108875,317.26800246391286
661398.9663426048,1509525.8509443782,316.88925069549225
661413.202847862,1509515.4839661592,323.9380109335001
661414.8510222866,1509514.2956114125,324.2079163023047
661416.4277536338,1509512.99618788,320.5072160886424
