X (m),Y (m),Heading (deg)
661486.6594619991,1509563.0086025211,0.0
661486.6931408108,1509566.3276998685,89.41864086903108
661486.6365521211,1509569.6646802693,90.97153172917726
661486.4624655042,1509600.8980542636,90.31934830783074
661486.4765251812,1509604.4751669387,89.77480273068895
661486.4189153212,1509607.978085657,90.94221549202378
661486.1247350331,1509635.2833681724,90.61726652372083
661486.0679187074,1509638.657223882,90.96477984752357
661486.0294733462,1509641.9758777644,90.66372043750202
661485.8972235707,1509672.2691583904,90.25013156979774
661485.9307873024,1509675.606693587,89.4238276949045
661485.9644643932,1509678.9257912093,89.4186706222633
661471.7370747391,1509699.544464101,124.60662690318962
661468.4173815188,1509699.855934002,174.63992064049356
661465.0978018251,1509700.1489667327,174.9553457695772
661434.5750921882,1509702.3582237863,175.86010721036928
661430.9517126934,1509702.206873884,182.39187547419667
661427.3473843277,1509701.8896971513,185.02900790599534
661401.0638020141,1509692.0848676243,200.45753106758679
661398.1734391846,1509690.0204487357,215.53602400989283
661395.4465992935,1509687.754214551,219.72944283942007
661380.6219880129,1509664.7443045424,237.20750216449062
661379.4870623723,1509661.6396981056,249.9195164173246
661378.5866493661,1509658.5180950905,253.91002075382323
661376.1913040732,1509631.6572473357,264.9040663189785
661376.1401482865,1509628.2458527198,269.1408818559441
661376.1785795619,1509624.9272001626,270.663477547227
661376.6901469753,1509597.4388828517,271.06617186599976
661376.622886562,1509593.7139387277,268.96553641282026
661376.5378219485,1509589.9520086353,268.70465085542463
661376.8501295405,1509559.6782883261,270.5910496634941
661377.3776584516,1509555.9938768838,278.1481519084488
661377.959393217,1509552.2913603664,278.9292421194856
661396.814326517,1509526.870258214,306.5644760264058
661399.3885324637,1509524.6366138612,319.0517494225095
661402.1969129962,1509522.4412858633,321.9850457355635
661429.0200769821,1509509.0356275456,333.4450723585049
661432.8261723882,1509508.8008939128,356.470862621431
