x,y
661518.989296747,1509812.216494699
661519.344350493,1509813.122155391
661519.816432343,1509814.349362367
661520.260232416,1509815.484203897
661520.728866916,1509816.685576078
661521.219070062,1509817.898143964
661521.730819160,1509819.125595074
661522.282212917,1509820.356977809
661522.876789378,1509821.603376912
661523.518290815,1509822.842689474
661524.192338097,1509824.067451700
661524.881082119,1509825.248052501
661525.537892842,1509826.343640709
661526.166262937,1509827.372676100
661526.787579562,1509828.375854511
661527.437518219,1509829.416085649
661528.137443360,1509830.537752870
661528.926750065,1509831.785350490
661529.794778780,1509833.132999320
661530.719983499,1509834.565816151
661531.673810193,1509836.035685733
661532.641947815,1509837.524081717
661533.613577985,1509839.030937528
661534.585185345,1509840.541480906
661535.549693807,1509842.033542360
661536.496375771,1509843.492305242
661537.425185855,1509844.925144583
661538.354109295,1509846.339546384
661539.275933848,1509847.735466256
661540.194220255,1509849.120301425
661541.094657499,1509850.475525530
661541.963025341,1509851.767862133
661542.741966229,1509852.941643372
661543.406464264,1509853.959838706
661544.013604681,1509854.922366206
661544.588358015,1509855.873631435
661545.173521160,1509856.891338587
661545.819216715,1509858.034798661
661546.561233565,1509859.348483809
661547.360471702,1509860.739961966
661548.217067282,1509862.187108031
661549.116958922,1509863.630832948
661550.049464423,1509865.048945032
661551.021796025,1509866.441488676
661552.023158056,1509867.804709782
661553.046270186,1509869.149626517
661554.087526292,1509870.476216691
661555.154115922,1509871.788212212
661556.231591895,1509873.089211821
661557.316348089,1509874.379193323
661558.408361808,1509875.661844237
661559.496746602,1509876.948160530
661560.577828256,1509878.249182561
661561.651606772,1509879.564910329
661562.728809716,1509880.910160496
661563.820346233,1509882.270249580
661564.929845139,1509883.641512261
661566.057374523,1509885.012885988
661567.206585900,1509886.377017921
661568.359471369,1509887.730109559
661569.501561059,1509889.079447151
661570.640021811,1509890.432450127
661571.767595989,1509891.796449127
661572.884170100,1509893.189881742
661573.997001775,1509894.605417331
661575.098969577,1509896.028261421
661576.172111018,1509897.447240464
661577.245093436,1509898.892032195
661578.325060961,1509900.373743567
661579.408475571,1509901.881289829
661580.498829884,1509903.433130768
661581.617715196,1509905.036774618
661582.747350616,1509906.651547686
661583.869841759,1509908.255213864
661584.981559815,1509909.851438469
661586.086179007,1509911.429181142
661587.172949094,1509912.977312728
661588.238263964,1509914.495811024
661589.289403962,1509915.973657872
661590.326255587,1509917.429290862
661591.345144623,1509918.873750345
661592.346002966,1509920.318098875
661593.321572986,1509921.769667085
661594.275460804,1509923.228477175
661595.211363345,1509924.679801267
661596.136583651,1509926.108933689
661597.058402065,1509927.504856285
661597.966136469,1509928.845377335
661598.870423583,1509930.160063595
661599.785551641,1509931.471128987
661600.715058646,1509932.789658268
661601.666066005,1509934.130445925
661602.652816540,1509935.523080916
661603.679120687,1509936.934397783
661604.730667508,1509938.345870123
661605.803850888,1509939.757475736
661606.884269078,1509941.165438293
661607.971944782,1509942.566070277
661609.059597659,1509943.970389839
661610.140106311,1509945.363602494
661611.213516150,1509946.738333204
661612.290690923,1509948.087273542
661613.371653337,1509949.406735991
661614.438304722,1509950.707672084
661615.501349887,1509952.008586027
661616.560766127,1509953.313165338
661617.609295809,1509954.628740648
