x,y
661518.989296747,1509812.216494699
661519.354126372,1509813.147568414
661519.713157900,1509814.080893845
661520.075877158,1509815.012788916
661520.439692332,1509815.944259977
661520.805430735,1509816.874964557
661521.180230510,1509817.802070338
661521.564007413,1509818.725490286
661521.962343424,1509819.642639341
661522.375778962,1509820.553118494
661522.806334058,1509821.455682791
661523.261258945,1509822.346131233
661523.730854038,1509823.228922627
661524.213940271,1509824.104480761
661524.717844170,1509824.968240485
661525.228697707,1509825.827890080
661525.745661462,1509826.683888065
661526.267857106,1509827.536710141
661526.794439606,1509828.386834057
661527.324317885,1509829.234907762
661527.853813254,1509830.083220558
661528.385644296,1509830.930065384
661528.920290968,1509831.775141083
661529.461708458,1509832.615894502
661530.003578468,1509833.456356627
661530.546039291,1509834.296437728
661531.089784109,1509835.135687672
661531.634134988,1509835.974545300
661532.179326541,1509836.812856752
661532.724077775,1509837.651453232
661533.265993986,1509838.491885752
661533.807571528,1509839.332536378
661534.348543326,1509840.173577111
661534.890586955,1509841.013926704
661535.433464024,1509841.853738878
661535.977519274,1509842.692787952
661536.521875234,1509843.531642276
661537.065819316,1509844.370763743
661537.611463676,1509845.208775800
661538.160418422,1509846.044627872
661538.710734095,1509846.879583687
661539.261791748,1509847.714050860
661539.814392617,1509848.547496833
661540.367272472,1509849.380757707
661540.920676174,1509850.213670874
661541.477042363,1509851.044604591
661542.034151472,1509851.875041663
661542.587091096,1509852.708262986
661543.135417695,1509853.544520168
661543.675384794,1509854.386170733
661544.202899928,1509855.235665800
661544.715280155,1509856.094372557
661545.213194592,1509856.961596134
661545.704900930,1509857.832357225
661546.196683494,1509858.703075266
661546.690109401,1509859.572857374
661547.188176858,1509860.439995660
661547.693639850,1509861.302821483
661548.203014198,1509862.163366528
661548.731442286,1509863.012336289
661549.265958852,1509863.857425285
661549.815384958,1509864.692967596
661550.378051159,1509865.519536926
661550.950545382,1509866.339445679
661551.540121424,1509867.147119708
661552.134600351,1509867.951204582
661552.740049440,1509868.747088619
661553.351420348,1509869.538396584
661553.968851457,1509870.325021543
661554.597085048,1509871.103017089
