x,y,speed,heading,fix_quality
661518.989296747,1509812.216494699,0.664088,22.14,4
661519.344350493,1509813.122155391,1.191452,21.73,4
661519.787969094,1509814.286497044,1.25416,22.94,4
661520.249618295,1509815.450949658,1.2628979999999999,23.33,4
661520.710927086,1509816.670715045,1.3050460000000002,19.83,4
661521.208297111,1509817.890702345,1.3132700000000002,22.4,4
661521.687522992,1509819.129016297,1.343596,21.82,4
661522.238984826,1509820.349336475,1.353362,23.5,4
661522.808363787,1509821.588205210,1.383174,26.56,4
661523.467895867,1509822.827628717,1.4582180000000002,26.15,4
661524.181179418,1509824.122697864,1.294252,30.74,4
661524.895030176,1509825.325579103,1.364156,32.82,4
661525.609221236,1509826.473147608,1.32612,30.61,4
661526.252083898,1509827.491209215,0.995618,31.51,4
661526.751949480,1509828.305569753,0.843988,33.35,4
661527.323029896,1509829.267874821,1.185798,35.62,4
661528.001613300,1509830.341471157,1.4561620000000002,31.12,4
661528.858914519,1509831.674303296,1.6324640000000001,33.69,4
661529.751709603,1509833.099545324,1.718816,33.51,4
661530.698483007,1509834.543557851,1.743488,33.84,4
661531.663173472,1509836.006118970,1.7717580000000002,34.14,4
661532.627636893,1509837.505555312,1.7964300000000002,34.34,4
661533.628047990,1509839.023651210,1.800542,32.67,4
661534.592397713,1509840.541525241,1.809794,33.5,4
661535.556633857,1509842.077836908,1.780496,33.18,4
661536.521210273,1509843.558835859,1.731152,33.28,4
661537.450179204,1509844.965862581,1.602138,32.95,4
661538.361457807,1509846.317465619,1.6448,34.35,4
661539.236448134,1509847.705721950,1.691574,33.99,4
661540.201251056,1509849.149845909,1.689004,32.67,4
661541.130333037,1509850.538435219,1.6776959999999999,33.24,4
661542.041611239,1509851.890038431,1.567186,34.4,4
661542.863644029,1509853.093586142,1.345138,35.22,4
661543.578287343,1509854.167404964,1.2305160000000002,32.49,4
661544.095955495,1509855.018752103,0.7458140000000001,32.74,4
661544.452823217,1509855.629411890,0.971974,31.87,4
661545.077313320,1509856.702675930,1.3482220000000003,30.93,4
661545.737410702,1509857.849912285,1.5409720000000002,29.22,4
661546.504103064,1509859.255940729,1.6561080000000001,29.9,4
661547.324433272,1509860.736052471,1.707508,29.4,4
661548.162907469,1509862.197837631,1.700312,29.71,4
661549.073504004,1509863.660066715,1.720872,33.23,4
661550.020388602,1509865.085642609,1.713676,34.57,4
661551.003561265,1509866.474565315,1.6504539999999999,35.74,4
661551.986960776,1509867.826612891,1.668444,35.94,4
661553.024565479,1509869.160555848,1.683864,37.93,4
661554.080314159,1509870.476172246,1.674098,37.97,4
661555.135949250,1509871.810226288,1.677182,39.37,4
661556.209841797,1509873.107516181,1.704424,41.48,4
661557.319908926,1509874.386590497,1.7023679999999999,43.37,4
661558.411945342,1509875.665553892,1.676668,40.2,4
661559.504095132,1509876.926079756,1.661248,38.63,4
661560.596017845,1509878.223480858,1.681808,39.96,4
661561.651765765,1509879.539097646,1.699798,38.38,4
661562.725317197,1509880.891700651,1.724984,39.71,4
661563.780837919,1509882.244192732,1.748114,38.58,4
661564.890109852,1509883.652330590,1.7964300000000002,38.22,4
661566.053700434,1509885.023926281,1.808766,40.59,4
661567.199260294,1509886.395411053,1.7753560000000002,39.64,4
661568.362964118,1509887.748569284,1.77587,42.63,4
661569.526894804,1509889.064852397,1.746572,40.96,4
661570.654537197,1509890.417788782,1.756338,40.06,4
661571.764148884,1509891.770614240,1.771244,40.68,4
661572.891564053,1509893.160425931,1.7943740000000001,39.37,4
661574.000835008,1509894.568564285,1.808252,38.81,4
661575.109765356,1509896.032015475,1.853484,38.45,4
661576.218695574,1509897.495466726,1.820074,38.05,4
661577.273987896,1509898.884834691,1.681294,36.91,4
661578.257271254,1509900.255321144,1.771244,39.7,4
661579.365747102,1509901.792522938,1.952686,35.11,4
661580.509602977,1509903.440572338,1.996376,35.98,4
661581.635768625,1509905.033198032,1.914136,34.4,4
661582.725759461,1509906.644039388,1.9557700000000002,35.99,4
