x,y
661514.689993893,1509795.909035309
661514.848979817,1509796.444723796
661515.046407934,1509797.179782292
661515.236918747,1509797.866858689
661515.437952977,1509798.601939378
661515.642502566,1509799.351792328
661515.857779774,1509800.116461916
661516.073011588,1509800.888506542
661516.284637257,1509801.660528983
661516.499891731,1509802.428886099
661516.718729628,1509803.200952926
661516.933961382,1509803.972997566
661517.145632371,1509804.737644987
661517.361000234,1509805.487564530
661517.569223894,1509806.226377147
661517.763159163,1509806.942975907
661517.957162488,1509807.648512118
661518.151188490,1509808.350360814
661518.345169099,1509809.059584548
661518.542687754,1509809.779893026
661518.758168970,1509810.511375006
661518.977210920,1509811.250254214
661519.210631990,1509811.996597217
661519.454871428,1509812.743006793
661519.713512675,1509813.493192648
661519.979298090,1509814.254485439
661520.259485310,1509815.019554511
661520.546884768,1509815.784667966
661520.845057211,1509816.557223032
661521.150464579,1509817.326134964
661521.470341819,1509818.087760628
661521.797408604,1509818.853118195
661522.142506005,1509819.618586718
661522.498444458,1509820.380434301
661522.865246653,1509821.134973426
661523.239238388,1509821.893244457
661523.620533119,1509822.636809807
661524.001918591,1509823.365625094
661524.394122420,1509824.094506961
661524.797167298,1509824.819767890
661525.207469787,1509825.537698175
661525.614347659,1509826.226106137
661525.999883740,1509826.866443236
661526.371312974,1509827.455066337
661526.724961163,1509828.003015799
661527.071623996,1509828.514045713
661527.443393548,1509829.047356075
661527.861656965,1509829.643642722
661528.326459627,1509830.295530625
661528.837756142,1509831.010394819
661529.388402330,1509831.777128374
661529.960526397,1509832.569807712
661530.539839991,1509833.366218967
661531.111873218,1509834.173648408
661531.683883717,1509834.984765384
661532.248591157,1509835.810588063
661532.809556278,1509836.658513673
661533.370339821,1509837.535939440
661533.934638679,1509838.428137486
661534.498869419,1509839.331398102
661535.066706243,1509840.234680926
661535.634520332,1509841.141651285
661536.202379766,1509842.041246625
661536.759466172,1509842.933400370
661537.312969107,1509843.821844421
661537.855699016,1509844.702846876
661538.391239330,1509845.580117443
661538.926756911,1509846.461075544
661539.476562788,1509847.364247538
661540.037028139,1509848.293298751
661540.619016722,1509849.240920727
661541.208240205,1509850.184899588
661541.790342175,1509851.114084009
661542.347518957,1509851.991487845
661542.854686553,1509852.791143117
661543.293927825,1509853.494501268
661543.686652577,1509854.138570630
661544.054338693,1509854.749296989
661544.404107645,1509855.341474799
661544.768096821,1509855.966929051
661545.178443598,1509856.677484737
661545.620905037,1509857.443552943
661546.081102030,1509858.257669860
661546.569694077,1509859.145714696
661547.072460937,1509860.074411017
661547.575227758,1509861.003107352
661548.085047919,1509861.957660714
661548.605550237,1509862.934405780
661549.136802792,1509863.922279999
661549.686063217,1509864.913952723
661550.249521129,1509865.942589421
661550.830964212,1509866.978712145
661551.441210824,1509868.022387480
661552.083844386,1509869.077325144
661552.744508502,1509870.132373803
661553.430551586,1509871.165452741
661554.134738700,1509872.180205089
661554.857047144,1509873.180318366
661555.586772037,1509874.147288399
661556.338224383,1509875.099641559
661557.100653912,1509876.026248707
661557.863310356,1509876.915980701
661558.619004172,1509877.765105633
661559.392796625,1509878.603279019
661560.173937448,1509879.419371719
661560.962358553,1509880.224446286
661561.779583174,1509881.037073487
661562.614861043,1509881.846124182
661563.435895962,1509882.625585978
661564.260536951,1509883.405070003
661565.096018946,1509884.180933131
661565.920727930,1509884.949354664
661566.741808049,1509885.721441550
661567.559236606,1509886.500881305
661568.358611821,1509887.283897622
661569.136236780,1509888.085218377
661569.906513263,1509888.908619876
661570.673024687,1509889.757811833
661571.424907297,1509890.640102691
661572.169418727,1509891.548161809
661572.902952857,1509892.481966987
661573.618365546,1509893.430411274
661574.297762401,1509894.371258569
661574.951961780,1509895.304575461
661575.591782035,1509896.230428546
661576.217245869,1509897.145130303
661576.828398686,1509898.041305696
661577.435945342,1509898.937458908
661578.054333007,1509899.829991217
661578.669137209,1509900.718813829
661579.301881150,1509901.622497530
661579.952542130,1509902.544729839
661580.617514029,1509903.485488558
661581.293190729,1509904.444751489
661581.979594927,1509905.418831114
661582.655271524,1509906.378094091
661583.323690435,1509907.344687729
661583.999276125,1509908.318700826
661584.671187543,1509909.303754303
661585.339447389,1509910.296160640
661585.993305424,1509911.284790680
661586.625753728,1509912.236412354
661587.244027235,1509913.147382546
661587.859012400,1509914.006705298
661588.492391324,1509914.807138776
661589.158497664,1509915.563521857
661589.868127071,1509916.279608662
661590.610597411,1509916.933207480
661591.411196895,1509917.517098684
661592.262758702,1509918.023862841
661593.172585877,1509918.438794282
661594.133466198,1509918.761848608
661595.134535925,1509919.000334255
661596.168492023,1509919.168956900
661597.220864634,1509919.275002779
661598.277093087,1509919.340508197
661599.333457758,1509919.383888545
661600.407898411,1509919.420004907
661601.475217650,1509919.441326835
661602.528180544,1509919.451497440
661603.588378374,1509919.458024975
661604.655765735,1509919.468284476
661605.733857922,1509919.497048226
661606.811972816,1509919.522124500
661607.922497343,1509919.554775686
661609.061893499,1509919.583917028
661610.222949054,1509919.609504121
661611.387724250,1509919.616675874
661612.566878501,1509919.631311528
661613.727979476,1509919.649523733
661614.852996597,1509919.671201469
661615.963611967,1509919.689102917
661617.059734762,1509919.717978152
661618.145016508,1509919.750474340
661619.230252844,1509919.790345612
661620.329913644,1509919.830305747
661621.422339511,1509919.873909038
661622.525629136,1509919.910203952
661623.639759816,1509919.942878010
661624.768314958,1509919.975640939
661625.907574913,1509920.026908130
661627.054001687,1509920.085594818
661628.185981292,1509920.147880250
661629.314332077,1509920.213831044
661630.428258400,1509920.279693063
661631.586914678,1509920.335824439
661632.825661920,1509920.401408629
661634.167768032,1509920.468579918
661635.566426978,1509920.532728718
661637.073089372,1509920.622520278
661638.565188879,1509920.711799100
661640.077345651,1509920.793192516
661641.585500835,1509920.874561379
661643.173687804,1509920.956423205
661644.798012376,1509921.018485155
661646.573342441,1509921.079931966
661648.495692516,1509921.134809098
