x,y
661514.689993893,1509795.909035309
661514.963429197,1509796.870838326
661515.228129852,1509797.835161579
661515.491911306,1509798.799743793
661515.758428938,1509799.763565464
661516.027869896,1509800.726581592
661516.293107289,1509801.690763009
661516.563556244,1509802.653496458
661516.834464721,1509803.616099189
661517.101902550,1509804.579673906
661517.376152040,1509805.541325692
661517.644527875,1509806.504628441
661517.907890416,1509807.469323277
661518.173873447,1509808.433300598
661518.437915702,1509809.397811661
661518.713311104,1509810.359098525
661518.998281847,1509811.317626619
661519.300383758,1509812.270883711
661519.618899571,1509813.218768466
661519.947447113,1509814.163254252
661520.290643323,1509815.102503224
661520.644570197,1509816.037767725
661521.008659916,1509816.969119027
661521.388939344,1509817.893941855
661521.780695136,1509818.814007592
661522.192371019,1509819.725317362
661522.619510784,1509820.629476648
661523.058964340,1509821.527737481
661523.509573126,1509822.420425999
661523.971434511,1509823.307371004
661524.445878998,1509824.187640570
661524.934523072,1509825.060107329
661525.436393098,1509825.925019877
661525.949754524,1509826.783183594
661526.483453966,1509827.628819797
661527.036324423,1509828.462009163
661527.608215839,1509829.282330799
661528.185988667,1509830.098519448
661528.767448232,1509830.912094506
661529.350583901,1509831.724469045
661529.935703653,1509832.535415737
661530.523818212,1509833.344193030
661531.102182135,1509834.159969367
661531.678530014,1509834.977173776
661532.243099985,1509835.802557826
661532.794979571,1509836.636480283
661533.333858724,1509837.478859565
661533.868667344,1509838.323831948
661534.399044706,1509839.171591616
661534.930799998,1509840.018488930
661535.461842960,1509840.865833441
661535.994606867,1509841.712095570
661536.525867555,1509842.559300627
661537.055031049,1509843.407820360
661537.581618531,1509844.257937583
661538.104469752,1509845.110359137
661538.624793429,1509845.964327752
661539.144459162,1509846.818697360
661539.663200623,1509847.673626354
661540.181626832,1509848.528741341
661540.705978090,1509849.380239160
661541.235554993,1509850.228501014
661541.766446699,1509851.075940685
661542.302286741,1509851.920259249
661542.837921263,1509852.764709149
661543.366528439,1509853.613566416
661543.885278422,1509854.468488007
661544.396208546,1509855.328101194
661544.898527209,1509856.192782060
661545.398646188,1509857.058738760
661545.894317602,1509857.927236665
661546.380176821,1509858.801255916
661546.858602399,1509859.679377746
661547.334682734,1509860.558779540
661547.808303930,1509861.439503674
661548.279074193,1509862.321759391
661548.750383361,1509863.203725725
661549.226018094,1509864.083355470
661549.710328586,1509864.958251062
661550.190746096,1509865.835290978
661550.679030711,1509866.707968958
661551.179014129,1509867.573965125
661551.691211851,1509868.432785435
661552.214024529,1509869.285216540
661552.744760635,1509870.132753478
661553.297965925,1509870.965798438
661553.864033205,1509871.790111275
661554.442227483,1509872.605956189
661555.032641095,1509873.413000696
661555.636381133,1509874.210160489
661556.255819526,1509874.995205760
661556.889078869,1509875.769114192
661557.534747966,1509876.532672500
661558.192489746,1509877.285858582
661558.862146500,1509878.028477843
661559.543332409,1509878.760550475
661560.235522925,1509879.482258038
661560.935201596,1509880.196715704
661561.643934516,1509880.902187941
661562.360469310,1509881.599720182
661563.083242375,1509882.290789014
661563.809239748,1509882.978485628
661564.538254589,1509883.662970085
661565.270751553,1509884.343740012
661566.002035984,1509885.025811127
661566.730543394,1509885.710849048
661567.454341141,1509886.400860704
661568.170074334,1509887.099218481
661568.871231439,1509887.812137790
661569.559433455,1509888.537602403
661570.236139653,1509889.273801751
661570.898728395,1509890.022662110
661571.544592002,1509890.786078673
661572.178385606,1509891.559576844
661572.796118669,1509892.345964702
661573.401001254,1509893.142244844
661573.992483853,1509893.948500510
661574.572434939,1509894.763121550
661575.144563181,1509895.583279676
661575.712211143,1509896.406548587
661576.276549869,1509897.232091835
661576.839918297,1509898.058297538
661577.401067209,1509898.886012404
661577.970056774,1509899.708353505
661578.539026121,1509900.530712191
661579.111516982,1509901.350619784
661579.687035552,1509902.168406759
661580.263913182,1509902.985237224
661580.840598525,1509903.802203176
661581.416491518,1509904.619728254
661581.992509146,1509905.437165525
661582.568367119,1509906.254715275
661583.138208468,1509907.076464185
661583.707763123,1509907.898417380
661584.274553445,1509908.722270215
661584.836585902,1509909.549380881
661585.394443207,1509910.379314038
661585.946085704,1509911.213394702
661586.499434338,1509912.046344219
661587.059166886,1509912.875007511
661587.634428839,1509913.692893234
661588.240078441,1509914.488278027
661588.884561763,1509915.252459691
661589.570637543,1509915.979412075
661590.301499738,1509916.661107891
661591.085833005,1509917.279805109
661591.924480972,1509917.822553873
661592.814448909,1509918.275464045
661593.747348507,1509918.632033284
661594.709976375,1509918.899191092
661595.690746774,1509919.091043855
661596.681835514,1509919.220685690
661597.678226980,1509919.303367581
661598.676739550,1509919.356919956
661599.675992579,1509919.395402547
661600.675525805,1509919.425351322
661601.675356913,1509919.443259987
661602.675314342,1509919.452403328
661603.675293022,1509919.458860380
661604.675240801,1509919.468804076
661605.674885074,1509919.495474817
661606.674609650,1509919.518929519
661607.674199901,1509919.547475346
661608.673846901,1509919.573992298
661609.673571486,1509919.597397056
661610.673429557,1509919.612277819
661611.673394013,1509919.620221605
661612.673312100,1509919.632980970
661613.673189108,1509919.648664331
661614.673006947,1509919.667733283
661615.672867040,1509919.684416546
661616.672583318,1509919.707779396
661617.672174525,1509919.736316208
661618.671607329,1509919.769821136
661619.670939558,1509919.806359550
661620.670233635,1509919.843889343
661621.669501063,1509919.882039911
661622.668976301,1509919.914407888
661623.668546791,1509919.943713721
661624.668125662,1509919.972732357
661625.667173800,1509920.016089976
661626.665937512,1509920.065729440
661627.664505904,1509920.119186871
661628.662903144,1509920.175755779
661629.661185615,1509920.234339110
661630.659574701,1509920.290899236
661631.658387033,1509920.339608469
661632.656988440,1509920.392478387
661633.655713249,1509920.442952004
661634.654560595,1509920.490906418
661635.653447619,1509920.537914830
661636.651676474,1509920.597405613
661637.649897159,1509920.657033204
661638.648140104,1509920.716264036
661639.646694623,1509920.770012275
661640.645245280,1509920.823832166
661641.643800395,1509920.877566383
661642.642474634,1509920.929042247
661643.641428148,1509920.974294558
661644.640699027,1509921.012474550
661645.640080014,1509921.047630367
661646.639494229,1509921.081820394
661647.639087015,1509921.110355668
661648.638666059,1509921.139346862
661649.638162773,1509921.171069377
661650.637665464,1509921.202587969
661651.637304315,1509921.229461163
661652.636943166,1509921.256334356
661653.636706808,1509921.277973520
661654.636490508,1509921.298771421
661655.636316104,1509921.317342454
661656.636174600,1509921.334164693
661657.636033476,1509921.350961463
661658.635948348,1509921.364009398
661659.635863221,1509921.377057333
661660.635808411,1509921.386249648
661661.635804824,1509921.388928059
661662.635801237,1509921.391606470
661663.635800225,1509921.391734005
661664.635800007,1509921.391074244
661665.635795259,1509921.389517917
661666.635750625,1509921.380069866
661667.635705991,1509921.370621815
661668.635374654,1509921.348464550
661669.634738853,1509921.312810674
661670.633878698,1509921.272809384
661671.631604161,1509921.205400934
661672.629088447,1509921.135391284
661673.622199379,1509921.018213318
661674.612690200,1509920.885192186
661675.590649875,1509920.676398333
661676.556860756,1509920.424199164
661677.506616150,1509920.111206044
661678.425322580,1509919.719164805
661679.321085539,1509919.277263392
661680.178102566,1509918.761975303
661680.993742682,1509918.185065396
661681.788993146,1509917.579510371
661682.525222896,1509916.902778700
661683.232900200,1509916.197508605
661683.909270112,1509915.460946495
661684.545279156,1509914.689402223
661685.162628501,1509913.903033883
661685.754725411,1509913.097453997
661686.286668909,1509912.250674147
661686.773201559,1509911.377218935
661687.192327210,1509910.469535161
661687.551910477,1509909.537031684
661687.840010726,1509908.579891343
661688.051205863,1509907.602898218
661688.199353007,1509906.614082789
661688.292711009,1509905.618499116
661688.412946964,1509904.625772092
661688.547481744,1509903.634863539
661688.686408573,1509902.644560891
661688.824067912,1509901.654081440
661688.967937897,1509900.664503645
661689.113247716,1509899.675148539
661689.244108243,1509898.683747750
661689.382301094,1509897.693344706
661689.517873431,1509896.702579858
661689.651878514,1509895.711599214
661689.789673869,1509894.721138632
661689.923808777,1509893.730184337
661690.053445747,1509892.738622972
661690.186763847,1509891.747549673
661690.312056739,1509890.755446744
661690.440556138,1509889.763797030
661690.586931141,1509888.774570680
661690.736477679,1509887.785816093
661690.884580150,1509886.796853217
661691.024057170,1509885.806627909
661691.154574156,1509884.815182869
661691.273834247,1509883.822343208
661691.378680698,1509882.827907816
661691.468700459,1509881.831996039
661691.546718141,1509880.835044120
661691.622742502,1509879.837938159
661691.696519046,1509878.840664269
661691.769468287,1509877.843328615
661691.842374722,1509876.845989830
661691.925456138,1509875.849447912
661692.013054494,1509874.853300390
661692.104123648,1509873.857456752
661692.189499459,1509872.861107932
661692.268467811,1509871.864247633
661692.340826452,1509870.866884944
661692.390617219,1509869.868125274
661692.426599207,1509868.868844557
661692.450925836,1509867.869149058
661692.461975212,1509866.869210104
661692.470025127,1509865.869245340
661692.476544226,1509864.869266968
661692.485167403,1509863.869304148
661692.503894859,1509862.869503355
661692.528975870,1509861.869822660
661692.559821066,1509860.870298486
661692.590571974,1509859.870771408
661692.621311285,1509858.871243973
661692.652094336,1509857.871717884
661692.680932491,1509856.872134183
661692.705717261,1509855.872452668
661692.724317333,1509854.872625664
661692.738383980,1509853.872725477
661692.750878600,1509852.872804290
661692.762258798,1509851.872869231
661692.776038378,1509850.872964174
