x,y,speed,heading,fix_quality
661514.689993893,1509795.909035309,0.2827,12.66,4
661514.848979817,1509796.444723796,0.702638,16.77,4
661515.043006020,1509797.146572446,0.726282,15.25,4
661515.219115002,1509797.829872570,0.726796,15.1,4
661515.430944936,1509798.568707341,0.767916,14.87,4
661515.642547959,1509799.344417290,0.8080080000000001,13.03,4
661515.854150969,1509800.120127241,0.795158,14.77,4
661516.065753964,1509800.895837196,0.811606,16.61,4
661516.295501042,1509801.653220512,0.805438,15.53,4
661516.507104004,1509802.428930474,0.7925880000000001,17.24,4
661516.700676305,1509803.204529494,0.805952,15.83,4
661516.930423338,1509803.961912822,0.827026,17.51,4
661517.159943453,1509804.756171326,0.7967000000000001,14.58,4
661517.371659808,1509805.513443715,0.77614,16.32,4
661517.565458949,1509806.252167576,0.776654,12.44,4
661517.777515621,1509806.954127213,0.711376,14,4
661517.971541638,1509807.655975906,0.72731,13.29,4
661518.129619797,1509808.339165123,0.70675,17,4
661518.341676433,1509809.041124769,0.7566080000000001,17.65,4
661518.535588960,1509809.761411058,0.73245,16.59,4
661518.747418669,1509810.500245883,0.782822,16.97,4
661518.959134912,1509811.257518298,0.8172600000000001,19.3,4
661519.207025878,1509811.996575023,0.762776,18.02,4
661519.436886182,1509812.735520807,0.7967000000000001,18.22,4
661519.702694306,1509813.493126075,0.7540380000000001,19.95,4
661519.968615863,1509814.232293761,0.815204,21.44,4
661520.252341146,1509815.008447574,0.823428,21.73,4
661520.535952952,1509815.803038979,0.843988,21.68,4
661520.837822282,1509816.560866164,0.845016,20.67,4
661521.139691597,1509817.318693354,0.817774,21.73,4
661521.459478076,1509818.095069087,0.84039,21.69,4
661521.779377987,1509818.853007238,0.81469,25.05,4
661522.135339152,1509819.611167296,0.8481,23.98,4
661522.473156208,1509820.387653998,0.857352,22.6,4
661522.865178604,1509821.146035971,0.825998,26.22,4
661523.239170339,1509821.904307001,0.839362,24.69,4
661523.613388961,1509822.625702865,0.821886,27.38,4
661524.005297830,1509823.402522451,0.8712300000000001,26.36,4
661524.379629861,1509824.105480744,0.7684300000000001,34.36,4
661524.772105963,1509824.790112409,0.8681460000000001,28.38,4
661525.200189484,1509825.548716337,0.816746,33.74,4
661525.628613351,1509826.252007512,0.836278,31.86,4
661526.056810277,1509826.992173872,0.7925880000000001,32.68,4
661526.414019221,1509827.547520555,0.41634000000000004,31.91,4
661526.699786365,1509827.991797906,0.592642,33.14,4
661527.057335654,1509828.491831839,0.590586,34.68,4
